"neq","nom","full_address","adresse","ville","province","code_postal","pays","nir","titre","categorie_transport","date_inscription","date_prochaine_maj","code_securite","droit_circulation","droit_exploiter","motif","extra_values","vrac_numero_inscription","vrac_region_exploitation","vrac_nombre_camions","vrac_nom_courtier"
"1140031510","GLOBAL TOURISME INTERNATIONAL INC.","275, rue du Parvis, Local 320 Québec (Québec)  G1K 6G7","275, rue du Parvis, Local 320","Québec","Québec","G1K 6G7","","","","","","","","","","","liste des intermédiaires en services de transport","","","",""
"1140031965","SOCIÉTÉ CONFOR (1994) INC.","","","","","","","R-016642-2","Sans objet","Sans objet","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140032435","TARDIF MÉTAL INC.","15971, boul. de la Colline Québec (Québec)  G3G 3A7","15971, boul. de la Colline","Québec","Québec","G3G 3A7","","R-031122-6","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140033078","9000-1827 QUÉBEC INC.","7940, boul. Wilfrid-Hamel Québec (Québec)  G2G 1C7","7940, boul. Wilfrid-Hamel","Québec","Québec","G2G 1C7","","R-017493-9","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140035669","CONSTRUCTIONS GAGNÉ & FILS INC.","22, rue des Affaires Saint-Christophe-d'Arthabaska (Québec)  G6P 6S4","22, rue des Affaires","Saint-Christophe-d'Arthabaska","Québec","G6P 6S4","","R-003782-1","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140035735","R.P. VERPAELST INC.","1632, rue Achille-Barrière Sherbrooke (Québec)  J1H 0B8","1632, rue Achille-Barrière","Sherbrooke","Québec","J1H 0B8","","R-503935-0","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-10-01","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds,Registre du camionnage en vrac","8-M-515079","Région 5","1","TRANSPORTEURS EN VRAC SHERBROOKE INC."
"1140036733","9000-2023 QUÉBEC INC.","","","","","","","R-051233-6","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140036808","ÉLECTRICITÉ DU FJORD INC.","1660, boul. Saint-Paul, App. 108 Saguenay (Québec)  G7J 4N1","1660, boul. Saint-Paul, App. 108","Saguenay","Québec","G7J 4N1","","R-009033-3","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140036840","9000-1959 QUÉBEC INC.","3392, ch. Sullivan Val-d'Or (Québec)  J9P 0B9","3392, ch. Sullivan","Val-d'Or","Québec","J9P 0B9","","R-009945-8","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-07-14","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140037640","FERME À L'OIE INC.","36, 3e Rang E Saint-Gervais (Québec)  G0R 3C0","36, 3e Rang E","Saint-Gervais","Québec","G0R 3C0","","R-103532-9","Propriétaire et exploitant de véhicules lourds","Marchandises","2013-05-21 10:59","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
