NEQ,RBQ,CTQ
2247078464,No,No
2247078662,No,No
2247078498,No,No
2247078704,No,No
2247078787,No,No
2247078811,No,No
2247078829,No,No
2247078738,No,No
2247078845,No,No
2247078886,No,No
2247078977,No,No
2247078985,No,Yes
2247079058,No,No
2247079090,No,No
2247079108,No,No
2247079124,No,No
2247079157,No,No
2247079181,No,No
2247079199,No,No
2247079207,No,No
2247079264,No,No
2247079280,No,No
2247079314,No,No
2247079322,No,No
2247079330,No,No
2247079389,No,No
2247079405,No,No
2247079421,No,No
2247079447,No,No
2247079470,No,No
2247079413,No,No
2247079462,No,No
2247079520,No,No
2247079553,No,No
2247079546,No,No
2247079587,No,No
2247079595,No,No
2247079603,No,No
2247079629,No,No
2247079637,No,No
2247079645,No,No
2247079660,No,No
2247104385,No,No
2247079678,No,No
2247079686,No,No
2267295592,No,No
2247104369,No,No
2247104393,No,No
2247104401,No,No
2247104419,No,No
2247104427,No,No
2247104443,No,No
2247104435,No,No
2247104476,No,No
2247104484,No,No
2247104518,No,No
2247104526,No,No
2247104559,No,No
2247104575,No,No
2247104583,No,No
2247104591,No,No
2247104633,No,No
2247104666,No,No
2247104674,No,No
2247104682,No,No
2247104690,No,No
2247104732,No,No
2247104716,No,No
2247104740,No,No
2247104757,No,No
2247104823,No,No
2247104773,No,No
2247104807,No,No
2247104799,No,No
2247104815,No,No
2247104864,No,No
2247104906,No,No
2247104849,No,No
2247104922,No,No
2247104971,No,No
2247104997,No,No
2247105002,No,No
2247105028,No,No
2247105044,No,No
2247105051,No,No
2247105069,No,No
2247105135,No,No
2247105226,No,No
2247105333,No,No
2247105390,No,No
2247105374,No,No
2247105507,No,No
2247105838,No,No
2247105614,No,No
2247105796,Yes,No
2247105879,No,No
2247105929,No,No
2247105952,No,No
2247105945,No,No
2247105978,No,No
2247105986,No,No
2247105994,No,No
2247106000,No,No
2247106034,No,No
2247106018,No,No
2247106042,No,No
2267200063,No,No
2247126032,No,No
2247106059,No,No
2247125984,No,No
2247126008,No,No
2247126016,No,No
2247126040,No,No
2247126057,No,No
2247126099,No,No
2247126107,No,No
2247126156,No,No
2247126149,No,No
2247126172,No,No
2247126180,No,No
2247126206,No,No
2247126214,No,No
2247126222,No,No
2247126248,No,No
2247126255,No,No
2247126263,No,No
2247126313,No,No
2247126420,No,No
2247126438,No,No
2247126446,No,No
2247126453,No,No
2247126461,No,No
2247126495,No,No
2247126503,No,No
2247126552,No,No
2247126560,No,No
2247126578,No,No
2247126586,No,No
2247126628,No,No
2247126636,No,No
2247126644,No,No
2247126651,No,No
2247126669,No,No
2247126677,No,No
2247126685,No,No
2247126701,No,No
2247126735,No,No
2247126743,No,No
2247126719,No,No
2247126800,No,No
2247126826,No,No
2247126842,No,No
2247126875,No,No
2247126883,No,No
2247126891,No,No
2247126917,No,No
2247126933,No,No
2247126958,No,No
2247126982,No,No
2247126941,No,No
2247126974,No,No
2247127030,No,No
2247127055,No,No
2247127063,No,No
2247127188,No,No
2247127238,No,No
2247127337,No,No
2247127303,No,No
2247127451,No,No
2247127527,No,No
1167214742,No,No
2247127519,No,No
2247149083,No,No
2247149091,No,No
2247149307,No,No
2247149364,No,No
2247149372,No,No
2247149380,No,No
2247149430,No,No
2247149612,No,No
2247149661,No,No
2247149653,No,No
2247149687,No,No
2247149752,No,No
2247149786,No,No
2247149794,No,No
2247149851,No,No
2247149836,No,No
2247149869,No,No
2247149901,No,No
2247149950,No,No
2247149968,No,No
2247150024,No,No
2247150016,No,No
2247150149,No,No
2247150040,No,No
2247150123,No,No
2247150255,No,No
2247150164,No,No
2247150263,No,No
2247150305,No,No
2247150271,No,No
2247150297,No,No
2247150339,No,No
2247150396,No,No
2247150404,No,No
2247150446,No,No
2247150537,No,No
2247150586,No,No
2247150594,No,No
2247150602,No,No
2247150644,No,No
2247150628,No,No
2247150651,No,No
2247150685,No,No
2247150669,No,No
2247150701,No,No
2247150677,No,No
2247150727,No,No
2247150693,No,No
2247150719,No,No
2247150735,No,No
2247150743,No,No
2247150776,No,No
2247150859,No,No
2247150750,No,No
2247150768,No,No
2247150883,No,No
2247150891,No,No
2247150875,No,No
2247150925,No,No
2247150958,No,No
2247150917,No,No
2247170840,No,No
1167295238,No,No
2247170816,No,No
2247170907,No,No
2247170832,No,No
2247170873,No,No
2247170931,No,No
2247170964,No,No
2247170956,No,No
2247170972,No,No
2247170980,No,No
2247171038,No,No
2247171012,No,No
2247171079,No,No
2247171046,No,No
2247171053,No,No
2247171061,No,No
2247171087,No,No
2247171095,No,No
2247171103,No,No
2247171111,No,No
2247171129,No,No
2247171137,No,No
2247171145,No,No
2247171152,No,No
2247171160,No,No
2247171186,No,No
2247171202,No,No
2247171251,No,No
2247171269,No,No
2247171285,No,No
2247171293,No,No
2247171301,No,No
2247171327,No,No
2247171335,No,No
2247171343,No,No
2247171350,No,No
2247171376,No,No
2247171392,No,No
2247171400,No,No
2247171418,No,No
2247171442,No,No
2247171475,No,No
2247171483,No,No
2247171491,No,No
2247171509,No,No
2247171517,No,No
2247171525,No,No
2247171558,No,No
2247171566,No,No
2247171582,No,No
2247171590,No,No
2247171624,No,No
2247171657,No,No
2247171673,No,No
2247171731,No,No
2247171681,No,No
2247171749,No,No
2247171764,No,No
2247171756,No,No
2247171772,No,No
2247171798,No,No
2247171806,No,No
2247171814,No,No
2247192711,No,No
2247192729,No,No
2247192737,No,No
2247192778,No,No
2247192786,No,No
2247192794,No,No
2247192802,No,No
2247192828,No,No
2247192836,No,No
2247192869,No,No
2247192877,No,No
2247192893,No,No
2247192901,No,No
2247192950,No,No
2247192919,No,No
2247192935,No,No
2247192984,No,No
2247192968,No,No
2247193016,No,No
2247193040,No,No
2247193057,No,No
2247193065,No,No
2247193081,No,No
2247193099,No,No
2247193123,No,No
2247193164,No,No
2247193214,No,No
2247193172,No,No
2247193206,No,No
2247193255,No,No
2247193263,No,No
2247193305,No,No
2247193370,No,No
2247193529,No,No
2247193412,No,No
2247193438,No,No
2247193560,No,No
2247193594,No,No
2247193610,No,No
2247193628,No,No
2247193644,No,No
2247193669,No,No
2247193677,No,No
2247193719,No,No
2247193727,No,No
2247193685,No,No
2247193735,No,No
2247193743,No,No
2247193768,No,No
2247193750,No,No
2247193784,No,No
2247193776,No,No
2247193792,No,No
2247193818,No,No
2247193826,No,No
2247193891,No,No
2247193933,No,No
2247193867,No,No
2247193834,No,No
2247193966,No,No
2247193974,No,No
2247214655,No,No
2247193941,No,No
2247214713,No,No
2247214721,No,No
2247214671,No,No
2247214747,No,No
2247214754,No,No
2247214762,No,No
2247214788,No,No
2247214796,No,No
2247214838,No,No
2247214846,No,No
2247214853,No,No
2247214887,No,No
2247214903,No,No
2247214945,No,No
2247214952,No,No
2247215009,No,No
2247215165,No,No
2247215058,No,No
2247215082,No,No
2247215132,No,No
2247215140,No,No
2247215173,No,No
2247215199,No,No
2247215223,No,No
2247215371,No,No
2247215231,No,No
2247215280,No,No
2247215314,No,No
2247215389,No,No
2247215421,No,No
2247215405,No,No
2247215454,No,No
2247215504,No,No
2247215512,No,No
2247215520,No,No
2247215538,No,No
2247215579,No,No
2247215561,No,No
2247215595,No,No
2247215603,No,No
2247215611,No,No
2247215629,No,No
2247215645,No,No
2247215660,No,No
2247215686,No,No
2247215652,No,No
2247215702,No,No
2247215728,No,No
2247215751,No,No
2247215785,No,No
2247215843,No,No
2247215850,No,No
2247215991,No,No
2247215884,No,No
2247215934,No,No
2247215942,No,No
2247215983,No,No
2247215967,No,No
2247216015,No,No
2247216049,No,No
2247216056,No,No
2247216064,No,No
2247216072,No,No
2247236831,No,No
2247236856,No,No
2247236914,No,No
2247236955,No,No
2247236989,No,No
2247236997,No,No
2247237011,No,No
2247237037,No,No
2247237045,No,No
2247237078,No,No
2247237110,No,No
2247237136,No,No
2247237144,No,No
2247237177,No,No
2247237193,No,No
2247237219,No,No
2247237227,No,No
2247237235,No,No
2247237268,No,No
2247237292,No,No
2247237334,No,No
2247237342,No,No
2247237383,No,No
2247237375,No,No
2247237409,No,No
2247237417,No,No
2247237565,No,No
2247237466,No,No
2247237516,No,No
2247237490,No,No
2247237573,No,No
2247237581,No,No
2247237599,No,No
2247237623,No,No
2247237698,No,No
2247237680,No,No
2247237722,No,No
2247237730,No,No
2247237763,No,No
2247238050,No,No
2247238027,No,No
2247238043,No,No
2247238118,No,No
2247238126,No,No
2247238175,No,No
2247238316,No,No
2247238282,No,No
2247238217,No,No
2247238357,No,No
2247238332,No,No
2247238381,No,No
2247238456,Yes,No
2247238431,No,No
2247238464,No,No
2247238480,No,No
2247238506,No,No
2247238522,No,No
2247238571,No,No
2247238613,No,No
2247238639,No,No
2247238647,No,No
2247238670,No,No
2247238654,No,No
2247259965,No,No
2247259973,No,No
2247259981,No,No
2247259999,No,No
2247260112,No,No
2247260062,No,No
2247260013,No,No
2247260138,No,No
2247260203,No,No
2247260278,No,No
2247260211,No,No
2247260302,No,No
2247260237,No,No
2247260252,No,No
2247260310,No,No
2247260336,No,No
2247260344,No,No
2247260401,No,No
2247260419,No,No
2247260385,No,No
2247260435,No,No
2247260443,No,No
2247260542,No,No
2247260468,No,No
2247260534,No,No
2247260500,No,No
2247260591,No,No
2247260575,No,No
2247260583,No,No
2247260633,No,No
2247260617,No,No
2247260716,No,No
2247260666,No,No
2247260674,No,No
2247260682,No,No
2247260708,No,No
2247260740,No,No
2247260724,No,No
2247260757,No,No
2247260773,No,No
2247260856,No,No
2247260781,No,No
2247260799,No,No
2247260807,No,No
2247260872,No,No
2247260815,No,No
2247260849,No,No
2247260864,No,No
2247260880,No,No
2247260898,No,No
2247260906,No,No
2247260914,No,No
2247260922,No,No
2247260930,No,No
2247260955,No,No
2247260989,No,No
2247260997,No,No
2247261011,No,No
2247261029,No,No
2247261037,No,No
2247261045,No,No
2247261094,No,No
2247282272,No,No
2247261086,No,No
2247282249,No,No
2247282256,No,No
2247282298,No,No
2247282280,No,No
2247282314,No,No
2247282330,No,No
2247282348,No,No
2247282355,No,No
2247282397,No,No
2247282371,No,No
2247282389,No,No
2247282405,No,No
2247282413,No,No
2247282439,No,No
2247282454,No,No
2247282462,No,No
2247282538,No,No
2247282553,No,No
2247282579,No,No
2247282561,No,No
2247282595,No,No
2247282587,No,No
2247282611,No,No
2247282645,No,No
2247282678,No,No
2247282785,No,No
2247282736,No,No
2247282801,No,No
2247282769,No,No
2247282876,No,No
2247282793,No,No
2247282850,No,No
2247282884,No,No
2247282892,No,No
2247282900,No,No
2247282918,No,No
2247282934,No,No
2247282967,No,No
2247282942,No,No
2247282975,No,No
2247282991,No,No
2247283015,No,No
2247283023,No,No
2247283031,No,No
2247283049,No,No
2247283106,No,No
2247283064,No,No
2247283072,No,No
2247283148,No,No
2247283197,No,No
2247283114,No,No
2247283221,No,No
2247283296,No,No
2247283346,No,No
2247283452,No,No
2247283429,No,No
2247283478,No,No
2247283460,No,No
2247283494,No,No
2247283510,No,No
2247283536,No,No
2247283544,No,No
2247307871,No,No
2247283569,No,No
2247307897,No,No
2247307905,No,No
2247307913,No,No
2247307921,No,No
2247307996,No,No
2247308101,No,No
2247308283,No,No
2247308267,No,No
2247308341,No,No
2247308374,No,No
2247308382,No,No
2247308390,No,No
2247308408,No,No
2247308457,No,No
2247308499,No,No
2247308523,No,No
2247308580,No,No
2247308598,No,No
2247308622,No,No
2247308630,No,No
2247308655,No,No
2247308754,No,No
2247308697,No,No
2247308820,No,No
2247308846,No,No
2247308952,No,No
2247309000,No,No
2247308812,No,No
2247308879,No,No
2247308903,No,No
2247309109,No,No
2247309091,No,No
2247309190,No,No
2247309133,No,No
2247309232,No,No
2247309240,No,No
2247309315,No,No
2247309257,No,No
2247309273,No,No
2247309364,No,No
2247309406,No,No
2247309414,No,No
2247309497,No,No
2247309471,No,No
2247309513,No,No
2247309554,No,No
2247309638,No,No
2247309653,No,No
2247309687,No,No
2247309679,No,No
2247309695,No,No
2247309711,No,No
2247309703,No,No
2247309729,No,No
2247309851,No,No
2247309869,No,No
2247309919,No,No
2247309992,No,No
2247309976,No,No
2247310032,No,No
2247310040,No,No
2247336441,No,No
2247336375,No,No
2247336391,No,No
2247336433,No,No
2247336409,No,No
2247336458,No,No
2247336474,No,No
2247336508,No,No
2247336516,No,No
2247336532,No,No
2247336524,No,No
2247336490,No,No
2247336557,No,No
2247336581,No,No
2247337027,No,No
2247336599,No,No
2247337050,No,No
2247337076,No,No
2247337142,No,No
2247337084,No,No
2247337092,No,No
2247337118,No,No
2247337100,No,No
2247337159,No,No
2247337167,No,No
2247337183,No,No
2247337191,No,No
2247337217,No,No
2247337233,No,No
2247337258,No,No
2247337266,No,No
2247337274,No,No
2247337282,No,No
2247337290,No,No
2247337316,No,No
2247337340,No,No
2247337357,No,No
2247337365,No,No
2247337399,No,No
2247337381,No,No
2247337373,No,No
2247337407,No,No
2247337415,No,No
2247337423,No,No
2247337431,No,No
2247337449,No,No
2247337514,No,No
2247337480,No,No
2247337498,No,No
2247337548,No,No
2247337522,No,No
2247337530,No,No
2247337555,No,No
2247337563,No,No
2247337613,No,No
2247337589,No,No
2247337605,No,No
2247337639,No,No
2247337647,No,No
2247338025,No,No
2247338041,No,No
2247338066,No,No
2247338074,No,No
2247338090,No,No
2247338116,No,No
2247338124,No,No
2247359344,No,No
2247359401,No,No
2247359385,No,No
2247359377,No,No
2247359393,No,No
2247359419,No,No
2247359443,No,No
2247359435,No,No
2247359450,No,No
2247359534,No,No
2247359476,No,No
2247359492,No,No
2247359609,No,No
2247359583,No,No
2247359658,No,No
2247359666,No,No
2247359724,No,No
2247359740,No,No
2247359773,No,No
2247359807,No,No
2247359872,No,No
2247359880,No,No
2247359906,No,No
2247359948,No,No
2247359971,No,No
2247359989,No,No
2247359997,No,No
2247360045,No,No
2247360128,No,No
2247360136,No,No
2247360110,No,No
2247360151,No,No
2247360219,No,No
2247360169,No,No
2247360243,No,No
2247360250,No,No
2247360284,No,No
2247360292,No,No
2247360318,No,No
2247360342,No,No
2247360375,No,No
2247360524,No,No
2247360391,No,No
2247360433,No,No
2247360425,No,No
2247360474,No,No
2247360664,No,No
2247360565,No,No
2247360615,No,No
2247360656,No,No
2247360706,No,No
2247360730,No,No
2247360748,No,No
2247360805,No,No
2247360763,No,No
2247360771,No,No
2247361019,No,No
2247360789,No,No
2247361027,No,No
2247360797,No,No
2247361043,No,No
2247361050,No,No
2247361068,No,No
2247361076,No,No
2247361084,No,No
2247380589,No,No
2247380555,No,No
2247380605,No,No
2247380613,No,No
2247402847,No,No
2247402888,No,No
2247402896,No,No
2267201384,No,No
2247422498,No,No
2247402771,No,No
2247402797,No,No
2247402813,No,No
2247422522,No,No
2247422530,No,No
2247422548,No,No
2247422555,No,No
2247422621,No,No
2247422639,No,No
2247422563,No,No
2247422605,No,No
2247422654,No,No
2247422670,No,No
2247422696,No,No
2247422753,No,No
2247422795,No,No
2247422761,No,No
2247422787,No,No
2247422704,No,No
2247422829,No,No
2247422837,No,No
2247422852,No,No
2247422860,No,No
2247422845,No,No
2247422886,No,No
2247422910,No,No
2247422936,No,No
2247422928,No,No
2247422894,No,No
2247422969,No,No
2247422944,No,No
2247422951,No,No
2247422977,No,No
2247422993,No,No
2247423033,No,No
2247423058,No,No
2247423074,No,No
2247423066,No,No
2247423116,No,No
2247423124,No,No
2247423140,No,No
2247423157,No,No
2247423165,No,No
2247423199,No,No
2247423181,No,No
2247423215,No,No
2247423207,No,No
2247423306,No,No
2247423256,No,No
2247423264,No,No
2247423348,No,No
2247423363,No,No
2247423355,No,No
2247423314,No,No
2247423389,No,No
2247423421,No,No
2247423454,No,No
2247423405,No,No
2247423488,No,No
2247423520,No,No
2247423611,No,No
2247423538,No,No
2247423595,No,No
2247423553,No,No
2247423629,No,No
2247423660,No,No
2247423652,No,No
2247380779,No,No
2247380720,No,No
2247380803,No,No
2247079702,No,No
2247380811,No,No
2247380886,No,No
2247380829,No,No
2247380837,No,No
2247380860,No,No
2247380902,No,No
2247380928,No,No
2247380951,No,No
2247380977,No,No
2247381074,No,No
2247381017,No,No
2247381025,No,No
2247381058,No,No
2247381157,No,No
2247381066,No,No
2247381181,No,No
2247381173,No,No
2247381199,No,No
2247381231,No,No
2247381215,No,No
2247381223,No,No
2247381256,No,No
2247381264,No,No
2247381280,No,No
2247381298,No,No
2247381306,No,No
2247381322,No,No
2247381314,No,No
2247381363,No,No
2247381355,No,No
2247381371,No,No
2247381389,No,No
2247381397,No,No
2247381447,No,No
2247381454,No,No
2247381488,No,No
2247381496,No,No
2247381546,No,No
2247381504,No,No
2247381512,No,No
2247381538,No,No
2247381595,No,No
2247381553,No,No
2247381561,No,No
2247381603,No,No
2247381611,No,No
2247381652,No,No
2247381660,No,No
2247381736,No,No
2247381710,No,No
2247381728,No,No
2247381694,No,No
2247401443,No,No
2247401450,No,No
2247401468,No,No
2247401484,No,No
2247401559,No,No
2247401591,No,No
2247401617,No,No
2247401633,No,No
2247401658,No,No
2247401666,No,No
2247401674,No,No
2247401732,No,No
2247401724,No,No
2247401765,No,No
2247401773,No,No
2247401807,No,No
2247401823,No,No
2247401831,No,No
2247401849,No,No
2247401872,No,No
2247401922,No,No
2247402094,No,No
2247401989,No,No
2247402011,No,No
2247402128,No,No
2247402060,No,No
2247402102,No,No
2247402151,No,No
2247402193,No,No
2247402276,No,No
2247402235,No,No
2247402292,No,No
2247402300,No,No
2247402318,No,No
2247402367,No,No
2247402334,No,No
2247402359,No,No
2247402375,No,No
2247402383,No,No
2247402409,No,No
2247402417,No,No
2247402433,No,No
2247402441,No,No
2247402425,No,No
2247402482,No,No
2247402458,No,No
2247402466,No,No
2247402474,No,No
2247402508,No,No
2247402532,No,No
2247402581,No,No
2247402607,No,No
2247402649,No,No
2247402540,No,No
2247402664,No,No
2247402672,No,No
2247402680,No,No
2247402730,No,No
